value,medical_category,risk_level,z_score
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1446.0,Very Low Birth Weight (VLBW),Very High,3.07
1445.0,Very Low Birth Weight (VLBW),Very High,3.07
1445.0,Very Low Birth Weight (VLBW),Very High,3.07
1445.0,Very Low Birth Weight (VLBW),Very High,3.07
1445.0,Very Low Birth Weight (VLBW),Very High,3.07
1445.0,Very Low Birth Weight (VLBW),Very High,3.07
1445.0,Very Low Birth Weight (VLBW),Very High,3.07
1445.0,Very Low Birth Weight (VLBW),Very High,3.07
1445.0,Very Low Birth Weight (VLBW),Very High,3.07
1445.0,Very Low Birth Weight (VLBW),Very High,3.07
1445.0,Very Low Birth Weight (VLBW),Very High,3.07
1445.0,Very Low Birth Weight (VLBW),Very High,3.07
1443.0,Very Low Birth Weight (VLBW),Very High,3.07
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1440.0,Very Low Birth Weight (VLBW),Very High,3.08
1436.0,Very Low Birth Weight (VLBW),Very High,3.09
